county_type,state,county,violent_crime,murder_and_nonnegligent_manslaughter,forcible_rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,county_state
Metropolitan,indiana,porter,44,2,5,3,34,965,176,721,68,0,porter_indiana
Nonmetropolitan,indiana,pulaski,18,0,2,0,16,231,57,148,26,3,pulaski_indiana
Metropolitan,indiana,putnam,16,0,0,3,13,201,89,90,22,0,putnam_indiana
Nonmetropolitan,indiana,randolph,0,0,0,0,0,281,94,179,8,3,randolph_indiana
Nonmetropolitan,indiana,ripley,2,0,0,0,2,298,83,201,14,0,ripley_indiana
Nonmetropolitan,indiana,rush,2,0,1,1,0,247,77,162,8,3,rush_indiana
Nonmetropolitan,indiana,scott,14,0,1,0,13,346,50,289,7,0,scott_indiana
Metropolitan,indiana,shelby,25,0,2,4,19,379,149,199,31,1,shelby_indiana
Metropolitan,indiana,st. joseph,131,3,10,22,96,1823,529,1230,64,3,st. joseph_indiana
Nonmetropolitan,indiana,starke,22,0,3,1,18,206,61,132,13,1,starke_indiana
Nonmetropolitan,indiana,steuben,16,0,3,2,11,484,136,334,14,0,steuben_indiana
Metropolitan,indiana,sullivan,10,0,1,3,6,194,70,114,10,5,sullivan_indiana
Metropolitan,indiana,tippecanoe,38,0,9,5,24,907,266,593,48,8,tippecanoe_indiana
Metropolitan,indiana,tipton,17,1,0,0,16,65,27,33,5,0,tipton_indiana
Metropolitan,indiana,vermillion,28,0,4,1,23,65,14,42,9,0,vermillion_indiana
Metropolitan,indiana,vigo,34,2,6,7,19,1279,385,801,93,5,vigo_indiana
Metropolitan,indiana,warrick,120,0,4,1,115,679,121,541,17,1,warrick_indiana
Nonmetropolitan,indiana,wayne,1,1,0,0,0,87,33,53,1,1,wayne_indiana
Metropolitan,indiana,wells,4,0,1,0,3,187,67,116,4,0,wells_indiana
Nonmetropolitan,indiana,white,6,0,1,1,4,62,16,41,5,0,white_indiana
Nonmetropolitan,iowa,adair,5,0,0,0,5,54,14,37,3,0,adair_iowa
Nonmetropolitan,iowa,appanoose,12,0,1,0,11,102,48,48,6,2,appanoose_iowa
Metropolitan,iowa,black hawk,37,0,7,0,30,143,48,80,15,1,black hawk_iowa
Nonmetropolitan,iowa,boone,7,0,1,0,6,48,11,24,13,0,boone_iowa
Metropolitan,iowa,bremer,6,0,2,0,4,42,10,30,2,3,bremer_iowa
Nonmetropolitan,iowa,buena vista,6,0,1,0,5,89,25,55,9,0,buena vista_iowa
Nonmetropolitan,iowa,butler,1,1,0,0,0,25,9,8,8,0,butler_iowa
Nonmetropolitan,iowa,calhoun,12,0,0,0,12,87,37,46,4,0,calhoun_iowa
Nonmetropolitan,iowa,cass,4,0,0,0,4,76,25,45,6,0,cass_iowa
Nonmetropolitan,iowa,cedar,10,0,2,1,7,85,1,82,2,1,cedar_iowa
Nonmetropolitan,iowa,cerro gordo,3,0,0,0,3,131,39,81,11,1,cerro gordo_iowa
Nonmetropolitan,iowa,clarke,3,0,0,0,3,49,16,29,4,0,clarke_iowa
Nonmetropolitan,iowa,clay,6,0,1,0,5,53,37,12,4,0,clay_iowa
Nonmetropolitan,iowa,clinton,14,1,0,0,13,132,54,74,4,5,clinton_iowa
Nonmetropolitan,iowa,crawford,4,0,0,0,4,8,0,7,1,0,crawford_iowa
Metropolitan,iowa,dallas,13,0,0,0,13,133,39,86,8,1,dallas_iowa
Nonmetropolitan,iowa,davis,7,0,0,0,7,19,15,3,1,0,davis_iowa
Nonmetropolitan,iowa,delaware,8,0,0,0,8,36,13,23,0,0,delaware_iowa
Nonmetropolitan,iowa,des moines,37,0,0,0,37,153,42,95,16,1,des moines_iowa
Nonmetropolitan,iowa,dickinson,7,0,0,0,7,50,27,22,1,1,dickinson_iowa
Metropolitan,iowa,dubuque,11,0,1,1,9,189,73,104,12,5,dubuque_iowa
Nonmetropolitan,iowa,emmet,17,0,0,0,17,32,9,23,0,0,emmet_iowa
Nonmetropolitan,iowa,fayette,10,0,2,0,8,31,7,19,5,0,fayette_iowa
Nonmetropolitan,iowa,floyd,1,0,1,0,0,22,10,12,0,0,floyd_iowa
Metropolitan,iowa,guthrie,3,0,0,0,3,47,19,24,4,1,guthrie_iowa
Nonmetropolitan,iowa,hancock,9,0,0,1,8,41,19,19,3,0,hancock_iowa
Nonmetropolitan,iowa,hardin,7,1,0,0,6,116,47,62,7,1,hardin_iowa
Metropolitan,iowa,harrison,5,0,3,0,2,105,24,70,11,1,harrison_iowa
Nonmetropolitan,iowa,henry,12,0,0,0,12,122,54,61,7,0,henry_iowa
Nonmetropolitan,iowa,howard,5,0,1,3,1,55,14,38,3,1,howard_iowa
Nonmetropolitan,iowa,humboldt,1,0,0,0,1,37,13,20,4,0,humboldt_iowa
Nonmetropolitan,iowa,ida,2,0,1,0,1,37,13,22,2,0,ida_iowa
Nonmetropolitan,iowa,iowa,15,0,0,0,15,75,25,44,6,0,iowa_iowa
Nonmetropolitan,iowa,jefferson,1,0,0,0,1,59,13,40,6,0,jefferson_iowa
Metropolitan,iowa,johnson,65,0,5,1,59,220,56,144,20,6,johnson_iowa
Metropolitan,iowa,jones,0,0,0,0,0,79,18,54,7,0,jones_iowa
Nonmetropolitan,iowa,kossuth,7,0,0,0,7,73,48,22,3,2,kossuth_iowa
Nonmetropolitan,iowa,lee,20,1,0,0,19,217,120,89,8,0,lee_iowa
Metropolitan,iowa,linn,40,0,13,0,27,285,108,155,22,7,linn_iowa
Nonmetropolitan,iowa,louisa,10,0,1,0,9,68,27,35,6,2,louisa_iowa
Nonmetropolitan,iowa,lucas,5,0,0,0,5,74,29,43,2,3,lucas_iowa
Nonmetropolitan,iowa,lyon,17,0,6,0,11,66,24,39,3,2,lyon_iowa
Metropolitan,iowa,madison,3,0,0,1,2,58,27,25,6,0,madison_iowa
Nonmetropolitan,iowa,marion,24,1,7,1,15,119,59,50,10,3,marion_iowa
Nonmetropolitan,iowa,marshall,9,0,0,1,8,92,42,44,6,2,marshall_iowa
Metropolitan,iowa,mills,22,0,2,2,18,215,81,115,19,2,mills_iowa
Nonmetropolitan,iowa,mitchell,0,0,0,0,0,23,4,18,1,0,mitchell_iowa
Nonmetropolitan,iowa,monona,1,0,0,0,1,18,6,9,3,1,monona_iowa
Nonmetropolitan,iowa,monroe,4,1,1,0,2,27,2,19,6,0,monroe_iowa
Nonmetropolitan,iowa,muscatine,24,0,6,0,18,116,57,48,11,4,muscatine_iowa
Nonmetropolitan,iowa,o'brien,10,0,0,0,10,46,19,21,6,0,o'brien_iowa
Nonmetropolitan,iowa,osceola,1,0,0,0,1,8,2,5,1,2,osceola_iowa
Nonmetropolitan,iowa,page,5,1,0,0,4,36,9,24,3,0,page_iowa
Nonmetropolitan,iowa,palo alto,14,0,0,0,14,71,26,42,3,0,palo alto_iowa
Nonmetropolitan,iowa,plymouth,12,0,0,1,11,77,29,47,1,0,plymouth_iowa
Nonmetropolitan,iowa,pocahontas,8,0,2,0,6,76,24,50,2,0,pocahontas_iowa
Metropolitan,iowa,polk,87,0,7,4,76,779,234,483,62,4,polk_iowa
Metropolitan,iowa,pottawattamie,50,0,4,1,45,570,215,287,68,3,pottawattamie_iowa
Metropolitan,iowa,scott,40,0,4,1,35,153,45,99,9,2,scott_iowa
Nonmetropolitan,iowa,sioux,10,0,1,0,9,44,20,22,2,1,sioux_iowa
Metropolitan,iowa,story,9,0,3,0,6,143,54,78,11,3,story_iowa
Nonmetropolitan,iowa,story,9,0,3,0,6,143,54,78,11,3,story_iowa
Nonmetropolitan,iowa,tama,22,0,1,0,21,83,44,35,4,1,tama_iowa
Nonmetropolitan,iowa,van buren,14,0,1,0,13,58,27,26,5,0,van buren_iowa
Nonmetropolitan,iowa,wapello,13,0,0,0,13,96,44,45,7,1,wapello_iowa
Metropolitan,iowa,warren,22,0,3,0,19,275,109,144,22,4,warren_iowa
Metropolitan,iowa,washington,25,1,4,0,20,130,69,57,4,0,washington_iowa
Nonmetropolitan,iowa,wayne,4,0,0,0,4,26,10,16,0,0,wayne_iowa
Nonmetropolitan,iowa,webster,16,0,1,0,15,211,71,128,12,3,webster_iowa
Nonmetropolitan,iowa,winnebago,2,0,0,0,2,14,5,8,1,0,winnebago_iowa
Nonmetropolitan,iowa,winneshiek,0,0,0,0,0,16,4,11,1,0,winneshiek_iowa
Metropolitan,iowa,woodbury,34,0,4,1,29,129,46,71,12,2,woodbury_iowa
Nonmetropolitan,iowa,worth,3,0,0,0,3,96,29,63,4,0,worth_iowa
Nonmetropolitan,iowa,wright,1,0,0,0,1,46,23,21,2,0,wright_iowa
Nonmetropolitan,kansas,allen,10,0,1,0,9,85,27,55,3,5,allen_kansas
Nonmetropolitan,kansas,anderson,7,0,0,1,6,60,27,30,3,1,anderson_kansas
Nonmetropolitan,kansas,atchison,15,1,3,1,10,12,8,4,0,1,atchison_kansas
Nonmetropolitan,kansas,barber,3,0,1,0,2,30,6,21,3,0,barber_kansas
Nonmetropolitan,kansas,barton,9,1,1,0,7,157,61,92,4,3,barton_kansas
Nonmetropolitan,kansas,bourbon,20,2,1,0,17,129,50,62,17,8,bourbon_kansas
Nonmetropolitan,kansas,brown,14,0,4,0,10,44,14,25,5,0,brown_kansas
Metropolitan,kansas,butler,40,1,3,0,36,440,123,298,19,6,butler_kansas
Nonmetropolitan,kansas,chase,1,0,0,0,1,14,8,4,2,0,chase_kansas
Nonmetropolitan,kansas,chautauqua,0,0,0,0,0,19,4,11,4,1,chautauqua_kansas
Nonmetropolitan,kansas,cherokee,25,0,2,2,21,253,96,146,11,24,cherokee_kansas
Nonmetropolitan,kansas,cheyenne,4,0,1,0,3,33,15,16,2,0,cheyenne_kansas
Nonmetropolitan,kansas,clark,3,0,0,0,3,16,2,14,0,0,clark_kansas
Nonmetropolitan,kansas,clay,1,0,1,0,0,42,11,24,7,0,clay_kansas
Nonmetropolitan,kansas,cloud,22,0,7,0,15,62,25,33,4,0,cloud_kansas
Nonmetropolitan,kansas,coffey,4,0,1,0,3,37,10,24,3,0,coffey_kansas
Nonmetropolitan,kansas,cowley,19,0,2,1,16,142,51,84,7,1,cowley_kansas
Nonmetropolitan,kansas,crawford,26,0,3,0,23,229,74,138,17,6,crawford_kansas
Nonmetropolitan,kansas,dickinson,13,0,1,0,12,123,43,71,9,2,dickinson_kansas
Metropolitan,kansas,doniphan,2,0,1,0,1,37,7,26,4,0,doniphan_kansas
Metropolitan,kansas,douglas,25,0,2,0,23,179,64,104,11,1,douglas_kansas
Nonmetropolitan,kansas,edwards,5,0,1,0,4,24,11,12,1,2,edwards_kansas
Nonmetropolitan,kansas,elk,3,0,0,0,3,23,10,11,2,0,elk_kansas
Nonmetropolitan,kansas,ellis,8,0,2,0,6,59,23,34,2,0,ellis_kansas
Nonmetropolitan,kansas,ellsworth,7,0,1,1,5,38,17,20,1,2,ellsworth_kansas
Nonmetropolitan,kansas,finney,25,0,5,2,18,170,47,114,9,4,finney_kansas
Nonmetropolitan,kansas,ford,7,0,0,0,7,113,33,75,5,0,ford_kansas
Metropolitan,kansas,franklin,25,0,1,0,24,196,63,120,13,2,franklin_kansas
Metropolitan,kansas,geary,6,0,1,0,5,34,13,19,2,1,geary_kansas
Nonmetropolitan,kansas,graham,0,0,0,0,0,26,3,20,3,1,graham_kansas
Nonmetropolitan,kansas,grant,6,0,0,0,6,9,2,5,2,0,grant_kansas
Nonmetropolitan,kansas,gray,4,0,1,0,3,41,9,29,3,0,gray_kansas
Nonmetropolitan,kansas,greenwood,12,0,2,1,9,94,45,44,5,1,greenwood_kansas
Nonmetropolitan,kansas,harper,3,0,1,0,2,16,10,5,1,1,harper_kansas
Metropolitan,kansas,harvey,18,1,0,0,17,86,39,45,2,1,harvey_kansas
Nonmetropolitan,kansas,hodgeman,7,0,0,0,7,44,14,21,9,0,hodgeman_kansas
Metropolitan,kansas,jackson,18,0,2,0,16,110,33,65,12,5,jackson_kansas
Metropolitan,kansas,jefferson,29,0,3,0,26,330,122,188,20,2,jefferson_kansas
Metropolitan,kansas,johnson,38,0,7,0,31,278,73,187,18,7,johnson_kansas
Nonmetropolitan,kansas,kingman,2,0,0,0,2,77,24,51,2,2,kingman_kansas
Nonmetropolitan,kansas,kiowa,1,0,0,1,0,43,15,24,4,0,kiowa_kansas
Nonmetropolitan,kansas,labette,8,0,2,0,6,109,42,60,7,5,labette_kansas
Nonmetropolitan,kansas,lane,2,0,1,0,1,14,7,6,1,0,lane_kansas
Metropolitan,kansas,leavenworth,48,0,3,1,44,233,85,121,27,15,leavenworth_kansas
Nonmetropolitan,kansas,lincoln,1,0,0,0,1,56,18,34,4,0,lincoln_kansas
Metropolitan,kansas,linn,15,0,0,0,15,107,51,45,11,3,linn_kansas
Nonmetropolitan,kansas,logan,2,0,0,0,2,18,2,16,0,0,logan_kansas
Nonmetropolitan,kansas,lyon,9,0,0,0,9,102,18,84,0,2,lyon_kansas
Nonmetropolitan,kansas,marion,9,0,0,0,9,5,1,3,1,1,marion_kansas
Nonmetropolitan,kansas,marshall,3,0,0,0,3,56,14,41,1,0,marshall_kansas
Nonmetropolitan,kansas,mcpherson,11,0,3,2,6,106,59,39,8,0,mcpherson_kansas
Metropolitan,kansas,miami,18,0,3,0,15,189,70,110,9,6,miami_kansas
Nonmetropolitan,kansas,montgomery,30,0,4,1,25,175,65,102,8,6,montgomery_kansas
Nonmetropolitan,kansas,morris,9,0,0,0,9,58,23,32,3,0,morris_kansas
Nonmetropolitan,kansas,morton,4,0,0,0,4,21,4,16,1,1,morton_kansas
Nonmetropolitan,kansas,nemaha,2,0,0,0,2,30,7,20,3,1,nemaha_kansas
Nonmetropolitan,kansas,neosho,3,0,2,0,1,159,69,74,16,7,neosho_kansas
Nonmetropolitan,kansas,ness,4,0,0,0,4,19,2,14,3,0,ness_kansas
Metropolitan,kansas,osage,13,0,0,1,12,111,45,56,10,2,osage_kansas
Nonmetropolitan,kansas,pawnee,1,0,0,0,1,31,11,18,2,0,pawnee_kansas
Nonmetropolitan,kansas,phillips,2,0,0,0,2,19,11,8,0,0,phillips_kansas
Metropolitan,kansas,pottawatomie,38,0,5,1,32,224,72,140,12,6,pottawatomie_kansas
Nonmetropolitan,kansas,pratt,4,0,0,0,4,66,12,47,7,1,pratt_kansas
Nonmetropolitan,kansas,republic,0,0,0,0,0,19,9,9,1,0,republic_kansas
Nonmetropolitan,kansas,rice,3,0,2,0,1,43,18,19,6,0,rice_kansas
Metropolitan,kansas,riley,173,5,28,20,120,1467,372,1062,33,9,riley_kansas
Nonmetropolitan,kansas,rush,3,0,2,0,1,28,10,17,1,0,rush_kansas
Nonmetropolitan,kansas,russell,5,0,1,0,4,46,14,30,2,0,russell_kansas
Nonmetropolitan,kansas,saline,27,1,2,0,24,149,68,77,4,4,saline_kansas
Nonmetropolitan,kansas,seward,16,0,2,0,14,42,9,31,2,1,seward_kansas
Metropolitan,kansas,shawnee,65,0,1,4,60,1281,359,871,51,13,shawnee_kansas
Nonmetropolitan,kansas,sherman,1,0,0,0,1,17,6,9,2,0,sherman_kansas
Nonmetropolitan,kansas,stafford,1,0,0,0,1,29,6,21,2,0,stafford_kansas
Metropolitan,kansas,sumner,17,0,2,2,13,161,71,72,18,2,sumner_kansas
Metropolitan,kansas,wabaunsee,10,0,2,0,8,95,37,53,5,4,wabaunsee_kansas
Nonmetropolitan,kansas,washington,11,0,1,0,10,23,11,9,3,3,washington_kansas
Nonmetropolitan,kansas,wichita,3,0,0,0,3,36,9,24,3,0,wichita_kansas
Nonmetropolitan,kansas,wilson,8,0,0,0,8,68,24,43,1,0,wilson_kansas
Nonmetropolitan,kansas,woodson,8,0,1,0,7,79,32,44,3,0,woodson_kansas
Metropolitan,kansas,wyandotte,12,0,1,0,11,37,4,27,6,1,wyandotte_kansas
Nonmetropolitan,kentucky,adair,2,0,0,0,2,23,7,12,4,0,adair_kentucky
Nonmetropolitan,kentucky,allen,3,0,2,0,1,107,53,41,13,1,allen_kentucky
Nonmetropolitan,kentucky,anderson,2,0,0,2,0,87,41,39,7,0,anderson_kentucky
Nonmetropolitan,kentucky,ballard,4,0,0,0,4,149,47,96,6,2,ballard_kentucky
Nonmetropolitan,kentucky,barren,3,0,0,1,2,111,57,43,11,0,barren_kentucky
Nonmetropolitan,kentucky,bell,15,0,2,3,10,165,55,99,11,2,bell_kentucky
Metropolitan,kentucky,boone,71,4,21,17,29,1483,359,1067,57,3,boone_kentucky
Metropolitan,kentucky,bourbon,0,0,0,0,0,88,23,63,2,0,bourbon_kentucky
Metropolitan,kentucky,boyd,25,0,1,10,14,179,43,122,14,0,boyd_kentucky
Nonmetropolitan,kentucky,boyle,4,0,0,0,4,78,37,39,2,1,boyle_kentucky
Metropolitan,kentucky,bracken,8,0,1,2,5,145,65,79,1,0,bracken_kentucky
Nonmetropolitan,kentucky,breckinridge,3,1,0,0,2,13,9,4,0,0,breckinridge_kentucky
Metropolitan,kentucky,bullitt,18,0,7,6,5,737,383,314,40,1,bullitt_kentucky
Nonmetropolitan,kentucky,butler,6,0,1,0,5,43,22,18,3,0,butler_kentucky
Nonmetropolitan,kentucky,caldwell,4,0,1,0,3,61,37,23,1,0,caldwell_kentucky
Nonmetropolitan,kentucky,calloway,12,0,1,1,10,368,159,198,11,2,calloway_kentucky
Metropolitan,kentucky,campbell,11,1,3,2,5,263,78,167,18,1,campbell_kentucky
Nonmetropolitan,kentucky,carlisle,4,0,1,0,3,43,13,28,2,0,carlisle_kentucky
Nonmetropolitan,kentucky,carroll,1,0,0,0,1,59,18,34,7,2,carroll_kentucky
Nonmetropolitan,kentucky,carter,5,0,1,0,4,41,20,19,2,0,carter_kentucky
Nonmetropolitan,kentucky,casey,1,0,0,0,1,41,22,13,6,1,casey_kentucky
Metropolitan,kentucky,christian,17,1,4,2,10,438,173,239,26,3,christian_kentucky
Metropolitan,kentucky,clark,4,0,2,1,1,270,108,151,11,1,clark_kentucky
Nonmetropolitan,kentucky,clay,5,0,1,2,2,126,42,74,10,2,clay_kentucky
Nonmetropolitan,kentucky,crittenden,0,0,0,0,0,41,12,24,5,1,crittenden_kentucky
Nonmetropolitan,kentucky,cumberland,2,0,0,0,2,14,10,4,0,0,cumberland_kentucky
Metropolitan,kentucky,daviess,21,0,10,5,6,628,159,451,18,3,daviess_kentucky
Metropolitan,kentucky,edmonson,5,0,0,0,5,55,25,24,6,3,edmonson_kentucky
Nonmetropolitan,kentucky,estill,7,0,0,2,5,114,69,44,1,0,estill_kentucky
Nonmetropolitan,kentucky,fleming,1,0,0,0,1,8,4,3,1,0,fleming_kentucky
Nonmetropolitan,kentucky,floyd,3,0,0,0,3,92,18,62,12,1,floyd_kentucky
Nonmetropolitan,kentucky,franklin,15,0,5,3,7,411,140,254,17,0,franklin_kentucky
Nonmetropolitan,kentucky,fulton,2,0,0,0,2,32,13,17,2,0,fulton_kentucky
Metropolitan,kentucky,gallatin,2,0,0,0,2,100,45,48,7,0,gallatin_kentucky
Nonmetropolitan,kentucky,garrard,2,0,0,1,1,52,16,30,6,0,garrard_kentucky
Metropolitan,kentucky,grant,3,0,0,2,1,159,49,98,12,1,grant_kentucky
Nonmetropolitan,kentucky,graves,16,0,3,3,10,219,94,107,18,4,graves_kentucky
Nonmetropolitan,kentucky,grayson,4,0,1,0,3,102,45,48,9,0,grayson_kentucky
Nonmetropolitan,kentucky,green,4,0,1,0,3,8,3,5,0,0,green_kentucky
Metropolitan,kentucky,greenup,9,1,4,1,3,58,30,19,9,0,greenup_kentucky
Metropolitan,kentucky,hancock,0,0,0,0,0,19,9,8,2,1,hancock_kentucky
Metropolitan,kentucky,hardin,4,0,1,0,3,107,34,66,7,3,hardin_kentucky
Nonmetropolitan,kentucky,harlan,7,0,0,0,7,87,36,43,8,0,harlan_kentucky
Nonmetropolitan,kentucky,harrison,5,0,0,0,5,209,88,114,7,0,harrison_kentucky
Nonmetropolitan,kentucky,hart,3,0,2,0,1,18,6,9,3,0,hart_kentucky
Metropolitan,kentucky,henderson,10,0,4,2,4,172,72,90,10,2,henderson_kentucky
Metropolitan,kentucky,henry,1,0,0,1,0,25,14,11,0,0,henry_kentucky
Nonmetropolitan,kentucky,hickman,0,0,0,0,0,8,5,0,3,0,hickman_kentucky
Nonmetropolitan,kentucky,hopkins,17,1,5,3,8,332,128,167,37,1,hopkins_kentucky
Nonmetropolitan,kentucky,jackson,0,0,0,0,0,93,39,50,4,1,jackson_kentucky
Metropolitan,kentucky,jessamine,16,0,1,7,8,378,179,185,14,0,jessamine_kentucky
Nonmetropolitan,kentucky,johnson,7,0,1,1,5,135,45,76,14,3,johnson_kentucky
Metropolitan,kentucky,kenton,18,0,6,1,11,206,80,117,9,2,kenton_kentucky
Nonmetropolitan,kentucky,knott,0,0,0,0,0,2,0,2,0,0,knott_kentucky
Nonmetropolitan,kentucky,knox,14,0,2,5,7,321,196,103,22,0,knox_kentucky
Metropolitan,kentucky,larue,6,0,2,0,4,72,31,34,7,0,larue_kentucky
Nonmetropolitan,kentucky,laurel,18,1,0,11,6,538,207,271,60,0,laurel_kentucky
Nonmetropolitan,kentucky,lawrence,4,0,1,1,2,58,21,25,12,0,lawrence_kentucky
Nonmetropolitan,kentucky,letcher,2,0,0,1,1,49,22,19,8,0,letcher_kentucky
Nonmetropolitan,kentucky,lewis,8,1,1,2,4,32,16,12,4,0,lewis_kentucky
Nonmetropolitan,kentucky,lincoln,7,0,0,4,3,89,36,37,16,0,lincoln_kentucky
Nonmetropolitan,kentucky,livingston,5,0,2,0,3,75,30,37,8,0,livingston_kentucky
Nonmetropolitan,kentucky,logan,3,0,1,0,2,195,82,102,11,1,logan_kentucky
Nonmetropolitan,kentucky,lyon,0,0,0,0,0,94,45,48,1,0,lyon_kentucky
Nonmetropolitan,kentucky,madison,8,1,3,0,4,483,174,294,15,0,madison_kentucky
Nonmetropolitan,kentucky,magoffin,1,0,0,0,1,24,10,12,2,0,magoffin_kentucky
Nonmetropolitan,kentucky,marion,2,0,1,0,1,90,37,45,8,0,marion_kentucky
Nonmetropolitan,kentucky,marshall,20,1,4,5,10,300,136,147,17,0,marshall_kentucky
Nonmetropolitan,kentucky,martin,6,0,1,1,4,70,28,32,10,0,martin_kentucky
Nonmetropolitan,kentucky,mason,4,0,0,2,2,193,90,100,3,0,mason_kentucky
Nonmetropolitan,kentucky,mccracken,46,0,8,15,23,578,178,356,44,1,mccracken_kentucky
Nonmetropolitan,kentucky,mccreary,6,0,0,4,2,142,76,60,6,1,mccreary_kentucky
Metropolitan,kentucky,mclean,0,0,0,0,0,66,28,33,5,0,mclean_kentucky
Metropolitan,kentucky,meade,7,0,1,2,4,112,69,38,5,0,meade_kentucky
Nonmetropolitan,kentucky,menifee,0,0,0,0,0,50,28,20,2,2,menifee_kentucky
Nonmetropolitan,kentucky,mercer,5,1,1,0,3,89,48,35,6,0,mercer_kentucky
Nonmetropolitan,kentucky,metcalfe,1,0,0,0,1,58,20,36,2,0,metcalfe_kentucky
Nonmetropolitan,kentucky,montgomery,22,2,2,10,8,574,268,287,19,1,montgomery_kentucky
Nonmetropolitan,kentucky,muhlenberg,7,0,1,3,3,63,30,20,13,0,muhlenberg_kentucky
Metropolitan,kentucky,nelson,14,0,4,2,8,303,154,139,10,0,nelson_kentucky
Nonmetropolitan,kentucky,ohio,17,0,1,0,16,172,62,81,29,3,ohio_kentucky
Metropolitan,kentucky,oldham,19,0,6,8,5,495,187,297,11,2,oldham_kentucky
Nonmetropolitan,kentucky,owen,1,0,0,1,0,57,33,19,5,0,owen_kentucky
Metropolitan,kentucky,pendleton,3,0,1,1,1,109,33,74,2,1,pendleton_kentucky
Nonmetropolitan,kentucky,perry,6,0,0,1,5,12,7,2,3,0,perry_kentucky
Nonmetropolitan,kentucky,pike,0,0,0,0,0,24,13,9,2,0,pike_kentucky
Nonmetropolitan,kentucky,powell,2,0,1,1,0,93,46,45,2,0,powell_kentucky
Nonmetropolitan,kentucky,pulaski,12,0,2,5,5,797,447,331,19,4,pulaski_kentucky
Nonmetropolitan,kentucky,rockcastle,3,1,0,1,1,90,57,18,15,0,rockcastle_kentucky
Nonmetropolitan,kentucky,rowan,4,0,1,1,2,44,13,28,3,0,rowan_kentucky
Nonmetropolitan,kentucky,russell,2,0,0,0,2,43,25,13,5,0,russell_kentucky
Metropolitan,kentucky,scott,9,0,3,3,3,262,106,140,16,0,scott_kentucky
Metropolitan,kentucky,shelby,17,0,4,4,9,465,131,311,23,0,shelby_kentucky
Nonmetropolitan,kentucky,simpson,4,0,1,0,3,142,50,78,14,0,simpson_kentucky
Metropolitan,kentucky,spencer,0,0,0,0,0,159,96,52,11,1,spencer_kentucky
Nonmetropolitan,kentucky,taylor,15,1,6,0,8,236,127,102,7,2,taylor_kentucky
Nonmetropolitan,kentucky,todd,3,0,0,1,2,101,43,52,6,0,todd_kentucky
Metropolitan,kentucky,trigg,7,0,1,0,6,149,56,85,8,0,trigg_kentucky
Metropolitan,kentucky,trimble,0,0,0,0,0,9,3,4,2,0,trimble_kentucky
Nonmetropolitan,kentucky,union,4,0,1,1,2,48,15,26,7,0,union_kentucky
Metropolitan,kentucky,warren,26,0,2,4,20,408,130,260,18,1,warren_kentucky
Nonmetropolitan,kentucky,washington,1,0,0,0,1,38,18,19,1,0,washington_kentucky
Nonmetropolitan,kentucky,wayne,0,0,0,0,0,30,14,14,2,3,wayne_kentucky
Metropolitan,kentucky,webster,0,0,0,0,0,11,6,4,1,0,webster_kentucky
Nonmetropolitan,kentucky,whitley,8,0,0,1,7,200,118,64,18,0,whitley_kentucky
Nonmetropolitan,kentucky,wolfe,0,0,0,0,0,26,10,14,2,0,wolfe_kentucky
Metropolitan,kentucky,woodford,0,0,0,0,0,20,5,13,2,0,woodford_kentucky
Nonmetropolitan,louisiana,acadia,102,0,5,4,93,683,182,438,63,0,acadia_louisiana
Nonmetropolitan,louisiana,allen,22,0,4,1,17,214,60,151,3,4,allen_louisiana
Metropolitan,louisiana,ascension,373,8,33,41,291,2837,800,1887,150,0,ascension_louisiana
Nonmetropolitan,louisiana,assumption,86,0,0,6,80,419,114,286,19,0,assumption_louisiana
Nonmetropolitan,louisiana,avoyelles,84,3,20,5,56,463,136,307,20,2,avoyelles_louisiana
Nonmetropolitan,louisiana,bienville,42,0,2,3,37,207,53,146,8,1,bienville_louisiana
Metropolitan,louisiana,bossier,66,0,0,6,60,487,71,386,30,1,bossier_louisiana
Metropolitan,louisiana,caddo,113,0,4,8,101,841,211,578,52,3,caddo_louisiana
Metropolitan,louisiana,calcasieu,375,5,66,41,263,3893,1314,2392,187,24,calcasieu_louisiana
Nonmetropolitan,louisiana,caldwell,22,0,0,1,21,263,78,174,11,-1,caldwell_louisiana
Metropolitan,louisiana,cameron,15,0,0,0,15,152,28,117,7,2,cameron_louisiana
Nonmetropolitan,louisiana,concordia,66,1,4,2,59,215,61,144,10,-1,concordia_louisiana
Metropolitan,louisiana,east baton rouge,536,14,6,193,323,8008,1710,6157,141,25,east baton rouge_louisiana
Nonmetropolitan,louisiana,east carroll,25,0,2,1,22,57,19,35,3,0,east carroll_louisiana
Metropolitan,louisiana,east feliciana,1,0,1,0,0,67,25,38,4,0,east feliciana_louisiana
Nonmetropolitan,louisiana,evangeline,50,0,3,6,41,517,103,402,12,0,evangeline_louisiana
Metropolitan,louisiana,grant,10,0,1,0,9,288,77,196,15,0,grant_louisiana
Nonmetropolitan,louisiana,iberia,390,2,18,89,281,2126,928,1131,67,14,iberia_louisiana
Metropolitan,louisiana,iberville,276,0,5,20,251,580,151,408,21,-1,iberville_louisiana
Metropolitan,louisiana,jefferson,1809,49,67,464,1229,13028,2950,9193,885,94,jefferson_louisiana
Nonmetropolitan,louisiana,la salle,34,0,0,0,34,138,37,96,5,0,la salle_louisiana
