county_type,state,county,Violent_crime,Murder_and_nonnegligent_manslaughter,Forcible_rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Nonmetropolitan,PENNSYLVANIA,Centre,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Cumberland,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Lancaster,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Mercer,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Montgomery,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Northampton,1,0,0,0,1,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Pike,0,0,0,0,0,1,0,1,0,0
Nonmetropolitan,PENNSYLVANIA,Washington,4,0,0,0,4,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Westmoreland,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,York,3,0,0,0,3,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Bedford,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Clarion,0,0,0,0,0,1,0,1,0,0
Nonmetropolitan,PENNSYLVANIA,Elk,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Franklin,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Indiana,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Lawrence,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Schuylkill,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Snyder,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Tioga,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Union,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Warren,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,PENNSYLVANIA,Wayne,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,SOUTH DAKOTA,Aiken,424,11,48,82,283,"3,771","1,329","2,075",367,4
Nonmetropolitan,SOUTH DAKOTA,Anderson,776,11,46,84,635,"6,900","2,061","4,123",716,37
Nonmetropolitan,SOUTH DAKOTA,Berkeley,503,5,38,73,387,"3,357",951,"2,076",330,24
Nonmetropolitan,SOUTH DAKOTA,Calhoun,57,1,2,6,48,471,164,251,56,7
Nonmetropolitan,SOUTH DAKOTA,Charleston,573,7,24,96,446,"2,304",730,"1,294",280,14
Nonmetropolitan,SOUTH DAKOTA,Darlington,425,3,16,41,365,"2,325",876,"1,305",144,12
Nonmetropolitan,SOUTH DAKOTA,Dorchester,372,2,18,63,289,"2,413",771,"1,413",229,9
Nonmetropolitan,SOUTH DAKOTA,Edgefield,18,2,4,3,9,455,188,240,27,2
Nonmetropolitan,SOUTH DAKOTA,Fairfield,120,2,7,9,102,720,233,439,48,5
Nonmetropolitan,SOUTH DAKOTA,Florence,276,6,14,48,208,"2,653",737,"1,731",185,4
Nonmetropolitan,SOUTH DAKOTA,Greenville,"1,819",21,118,289,"1,391","10,942","3,014","7,042",886,32
Nonmetropolitan,SOUTH DAKOTA,Horry,0,0,0,0,0,31,0,31,0,0
Nonmetropolitan,SOUTH DAKOTA,Horry County Police Department,"1,060",16,111,161,772,"7,643","1,997","5,015",631,47
Nonmetropolitan,SOUTH DAKOTA,Kershaw,214,6,21,18,169,"1,371",396,890,85,21
Nonmetropolitan,SOUTH DAKOTA,Laurens,295,1,17,22,255,"1,437",499,801,137,12
Nonmetropolitan,SOUTH DAKOTA,Lexington,578,10,60,108,400,"4,508","1,147","2,953",408,9
Nonmetropolitan,SOUTH DAKOTA,Pickens,222,7,11,18,186,"2,155",633,"1,326",196,4
Nonmetropolitan,SOUTH DAKOTA,Richland,"2,366",13,93,406,"1,854","9,954","2,860","5,947","1,147",26
Nonmetropolitan,SOUTH DAKOTA,Saluda,36,0,1,2,33,349,148,178,23,3
Nonmetropolitan,SOUTH DAKOTA,Spartanburg,626,7,58,112,449,"6,338","1,854","3,953",531,21
Nonmetropolitan,SOUTH DAKOTA,York,413,2,28,39,344,"2,559",657,"1,743",159,25
Nonmetropolitan,SOUTH CAROLINA,Allendale,9,0,0,0,9,130,47,69,14,1
Nonmetropolitan,SOUTH CAROLINA,Bamberg,41,3,1,4,33,266,76,163,27,7
Nonmetropolitan,SOUTH CAROLINA,Barnwell,104,1,4,5,94,394,124,249,21,2
Nonmetropolitan,SOUTH CAROLINA,Beaufort,606,3,20,86,497,"3,849","1,106","2,557",186,16
Nonmetropolitan,SOUTH CAROLINA,Chester,129,1,8,16,104,848,238,552,58,2
Nonmetropolitan,SOUTH CAROLINA,Chesterfield,117,2,4,4,107,914,286,581,47,6
Nonmetropolitan,SOUTH CAROLINA,Clarendon,170,4,11,18,137,927,309,553,65,3
Nonmetropolitan,SOUTH CAROLINA,Colleton,172,4,17,13,138,"1,297",426,731,140,6
Nonmetropolitan,SOUTH CAROLINA,Dillon,240,4,9,20,207,"1,014",386,563,65,9
Nonmetropolitan,SOUTH CAROLINA,Georgetown,254,0,24,22,208,"1,672",504,"1,054",114,19
Nonmetropolitan,SOUTH CAROLINA,Greenwood,,3,5,14,,"1,583",393,"1,106",84,3
Nonmetropolitan,SOUTH CAROLINA,Hampton,77,0,3,3,71,426,146,253,27,2
Nonmetropolitan,SOUTH CAROLINA,Lancaster,230,3,21,36,170,"1,992",591,"1,298",103,10
Nonmetropolitan,SOUTH CAROLINA,Lee,73,0,7,4,62,429,161,222,46,8
Nonmetropolitan,SOUTH CAROLINA,Marion,86,2,10,9,65,878,364,449,65,7
Nonmetropolitan,SOUTH CAROLINA,Marlboro,161,2,8,14,137,845,263,517,65,5
Nonmetropolitan,SOUTH CAROLINA,McCormick,24,0,2,0,22,61,19,31,11,0
Nonmetropolitan,SOUTH CAROLINA,Newberry,54,2,6,5,41,501,114,337,50,0
Nonmetropolitan,SOUTH CAROLINA,Oconee,305,4,42,13,246,"1,560",511,958,91,5
Nonmetropolitan,SOUTH CAROLINA,Union,64,2,12,8,42,602,167,408,27,4
Nonmetropolitan,SOUTH CAROLINA,Williamsburg,174,3,9,27,135,780,235,462,83,15
Nonmetropolitan,SOUTH DAKOTA,Lincoln,10,0,6,0,4,175,56,111,8,0
Nonmetropolitan,SOUTH DAKOTA,McCook,2,0,0,0,2,46,12,31,3,0
Nonmetropolitan,SOUTH DAKOTA,Meade,11,0,1,1,9,56,8,40,8,0
Nonmetropolitan,SOUTH DAKOTA,Minnehaha,30,0,10,1,19,364,101,244,19,8
Nonmetropolitan,SOUTH DAKOTA,Pennington,44,1,22,0,21,383,108,259,16,2
Nonmetropolitan,SOUTH DAKOTA,Turner,3,0,0,0,3,32,11,20,1,3
Nonmetropolitan,SOUTH DAKOTA,Union,2,0,0,0,2,54,7,47,0,0
Nonmetropolitan,SOUTH DAKOTA,Aurora,0,0,0,0,0,4,1,2,1,0
Nonmetropolitan,SOUTH DAKOTA,Beadle,0,0,0,0,0,23,8,15,0,1
Nonmetropolitan,SOUTH DAKOTA,Bennett,5,0,0,0,5,8,3,2,3,0
Nonmetropolitan,SOUTH DAKOTA,Bon Homme,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,SOUTH DAKOTA,Brookings,1,0,1,0,0,64,6,52,6,1
Nonmetropolitan,SOUTH DAKOTA,Brown,3,0,0,0,3,13,5,6,2,0
Nonmetropolitan,SOUTH DAKOTA,Butte,1,0,0,0,1,31,11,15,5,0
Nonmetropolitan,SOUTH DAKOTA,Campbell,0,0,0,0,0,5,0,4,1,0
Nonmetropolitan,SOUTH DAKOTA,Charles Mix,8,0,2,0,6,50,25,21,4,2
Nonmetropolitan,SOUTH DAKOTA,Clark,1,0,0,0,1,9,5,4,0,0
Nonmetropolitan,SOUTH DAKOTA,Clay,2,0,1,0,1,33,4,27,2,0
Nonmetropolitan,SOUTH DAKOTA,Codington,8,0,5,0,3,56,7,45,4,0
Nonmetropolitan,SOUTH DAKOTA,Corson,0,0,0,0,0,18,1,16,1,0
Nonmetropolitan,SOUTH DAKOTA,Custer,4,0,1,0,3,31,6,20,5,0
Nonmetropolitan,SOUTH DAKOTA,Davison,8,0,0,0,8,8,1,6,1,0
Nonmetropolitan,SOUTH DAKOTA,Deuel,1,0,0,0,1,21,5,13,3,0
Nonmetropolitan,SOUTH DAKOTA,Dewey,1,0,0,0,1,5,1,3,1,0
Nonmetropolitan,SOUTH DAKOTA,Douglas,0,0,0,0,0,3,1,2,0,0
Nonmetropolitan,SOUTH DAKOTA,Edmunds,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,SOUTH DAKOTA,Faulk,0,0,0,0,0,12,2,9,1,0
Nonmetropolitan,SOUTH DAKOTA,Hamlin,7,0,2,0,5,28,8,17,3,1
Nonmetropolitan,SOUTH DAKOTA,Hand,0,0,0,0,0,8,4,3,1,0
Nonmetropolitan,SOUTH DAKOTA,Hanson,0,0,0,0,0,12,4,8,0,0
Nonmetropolitan,SOUTH DAKOTA,Harding,0,0,0,0,0,1,1,0,0,0
Nonmetropolitan,SOUTH DAKOTA,Hughes,4,0,0,0,4,26,13,11,2,0
Nonmetropolitan,SOUTH DAKOTA,Hutchinson,1,0,0,0,1,4,2,2,0,0
Nonmetropolitan,SOUTH DAKOTA,Jerauld,0,0,0,0,0,7,2,5,0,0
Nonmetropolitan,SOUTH DAKOTA,Lawrence,1,0,0,0,1,24,4,18,2,0
Nonmetropolitan,SOUTH DAKOTA,Marshall,6,0,4,1,1,34,19,10,5,0
Nonmetropolitan,SOUTH DAKOTA,McPherson,2,0,2,0,0,1,1,0,0,0
Nonmetropolitan,SOUTH DAKOTA,Mellette,7,0,2,0,5,11,4,4,3,0
Nonmetropolitan,SOUTH DAKOTA,Miner,0,0,0,0,0,19,13,6,0,0
Nonmetropolitan,SOUTH DAKOTA,Moody,3,0,0,0,3,23,5,15,3,1
Nonmetropolitan,SOUTH DAKOTA,Perkins,0,0,0,0,0,8,2,6,0,0
Nonmetropolitan,SOUTH DAKOTA,Potter,1,0,1,0,0,1,0,1,0,0
Nonmetropolitan,SOUTH DAKOTA,Roberts,5,0,0,0,5,34,13,10,11,0
Nonmetropolitan,SOUTH DAKOTA,Spink,11,0,4,0,7,48,18,28,2,6
Nonmetropolitan,SOUTH DAKOTA,Stanley,5,0,4,0,1,31,11,19,1,0
Nonmetropolitan,SOUTH DAKOTA,Sully,2,0,0,0,2,7,2,5,0,0
Nonmetropolitan,SOUTH DAKOTA,Tripp,0,0,0,0,0,9,1,8,0,0
Nonmetropolitan,SOUTH DAKOTA,Walworth,0,0,0,0,0,2,0,0,2,0
Nonmetropolitan,SOUTH DAKOTA,Yankton,8,0,1,0,7,77,23,45,9,1
Nonmetropolitan,SOUTH DAKOTA,Ziebach,0,0,0,0,0,1,1,0,0,0
Nonmetropolitan,TENNESSEE,Anderson,120,0,8,14,98,"1,015",443,515,57,4
Nonmetropolitan,TENNESSEE,Blount,271,2,24,21,224,"1,840",658,"1,054",128,6
Nonmetropolitan,TENNESSEE,Cannon,19,0,2,0,17,132,47,63,22,3
Nonmetropolitan,TENNESSEE,Carter,81,0,0,4,77,704,280,357,67,12
Nonmetropolitan,TENNESSEE,Cheatham,109,1,5,6,97,739,227,427,85,4
Nonmetropolitan,TENNESSEE,Chester,28,1,4,0,23,106,30,66,10,0
Nonmetropolitan,TENNESSEE,Dickson,102,0,14,4,84,591,232,327,32,4
Nonmetropolitan,TENNESSEE,Fayette,81,1,2,6,72,468,139,276,53,1
Nonmetropolitan,TENNESSEE,Hamblen,144,0,4,15,125,697,257,408,32,4
Nonmetropolitan,TENNESSEE,Hamilton,266,4,13,14,235,"1,771",642,"1,011",118,11
Nonmetropolitan,TENNESSEE,Hartsville/Trousdale,42,0,8,5,29,255,71,175,9,1
Nonmetropolitan,TENNESSEE,Hawkins,52,0,1,6,45,"1,077",420,603,54,4
Nonmetropolitan,TENNESSEE,Hickman,47,0,7,0,40,279,120,131,28,1
Nonmetropolitan,TENNESSEE,Jefferson,80,1,6,10,63,960,343,541,76,3
Nonmetropolitan,TENNESSEE,Knox,625,8,23,118,476,"5,778","1,458","3,932",388,35
Nonmetropolitan,TENNESSEE,Loudon,56,1,2,11,42,542,214,292,36,3
Nonmetropolitan,TENNESSEE,Macon,71,0,3,0,68,186,38,129,19,2
Nonmetropolitan,TENNESSEE,Madison,136,1,14,12,109,688,242,382,64,1
Nonmetropolitan,TENNESSEE,Marion,62,1,1,0,60,333,97,198,38,1
Nonmetropolitan,TENNESSEE,Montgomery,104,1,8,3,92,882,190,629,63,2
Nonmetropolitan,TENNESSEE,Polk,37,0,1,2,34,350,106,205,39,2
Nonmetropolitan,TENNESSEE,Robertson,59,0,4,3,52,495,160,302,33,2
Nonmetropolitan,TENNESSEE,Rutherford,234,1,15,22,196,"1,456",490,872,94,3
Nonmetropolitan,TENNESSEE,Sequatchie,36,1,3,0,32,219,78,114,27,4
Nonmetropolitan,TENNESSEE,Shelby,500,4,35,55,406,"3,327","1,123","1,979",225,8
Nonmetropolitan,TENNESSEE,Smith,63,1,5,4,53,267,89,147,31,6
Nonmetropolitan,TENNESSEE,Sullivan,340,3,28,19,290,"1,586",499,981,106,18
Nonmetropolitan,TENNESSEE,Sumner,101,3,5,8,85,828,238,551,39,4
Nonmetropolitan,TENNESSEE,Tipton,189,0,14,2,173,671,203,377,91,2
Nonmetropolitan,TENNESSEE,Unicoi,20,0,0,0,20,197,25,170,2,0
Nonmetropolitan,TENNESSEE,Union,48,1,6,6,35,494,208,235,51,2
Nonmetropolitan,TENNESSEE,Washington,200,2,10,11,177,"1,009",328,621,60,10
Nonmetropolitan,TENNESSEE,Williamson,41,0,4,3,34,452,166,266,20,5
Nonmetropolitan,TENNESSEE,Wilson,186,0,12,8,166,"1,104",422,613,69,1
Nonmetropolitan,TENNESSEE,Bedford,42,0,1,0,41,354,132,209,13,1
Nonmetropolitan,TENNESSEE,Benton,27,0,2,1,24,230,55,152,23,0
Nonmetropolitan,TENNESSEE,Bledsoe,11,1,0,2,8,94,22,50,22,0
Nonmetropolitan,TENNESSEE,Campbell,61,1,13,6,41,872,469,355,48,12
Nonmetropolitan,TENNESSEE,Carroll,28,1,1,1,25,329,144,144,41,0
Nonmetropolitan,TENNESSEE,Claiborne,87,1,6,10,70,723,333,350,40,7
Nonmetropolitan,TENNESSEE,Clay,0,0,0,0,0,83,35,42,6,1
Nonmetropolitan,TENNESSEE,Cocke,199,4,8,15,172,"1,097",518,505,74,30
Nonmetropolitan,TENNESSEE,Coffee,69,0,1,0,68,390,128,229,33,0
Nonmetropolitan,TENNESSEE,Crockett,13,1,1,0,11,118,50,57,11,2
Nonmetropolitan,TENNESSEE,Cumberland,102,1,3,5,93,985,391,519,75,15
Nonmetropolitan,TENNESSEE,Decatur,8,0,0,0,8,194,71,115,8,1
Nonmetropolitan,TENNESSEE,DeKalb,24,2,2,2,18,287,91,175,21,1
Nonmetropolitan,TENNESSEE,Dyer,44,0,0,2,42,327,112,180,35,2
Nonmetropolitan,TENNESSEE,Fentress,37,1,3,1,32,444,43,388,13,5
Nonmetropolitan,TENNESSEE,Franklin,42,0,5,0,37,336,52,264,20,5
Nonmetropolitan,TENNESSEE,Gibson,63,0,5,3,55,323,139,154,30,1
Nonmetropolitan,TENNESSEE,Giles,37,0,3,3,31,280,96,167,17,1
Nonmetropolitan,TENNESSEE,Greene,177,1,13,16,147,"1,324",548,678,98,10
Nonmetropolitan,TENNESSEE,Grundy,60,0,2,2,56,260,63,156,41,4
Nonmetropolitan,TENNESSEE,Hancock,26,0,1,0,25,159,34,118,7,0
Nonmetropolitan,TENNESSEE,Hardeman,67,0,7,4,56,404,195,159,50,5
Nonmetropolitan,TENNESSEE,Hardin,52,0,6,2,44,444,161,234,49,1
Nonmetropolitan,TENNESSEE,Haywood,47,0,3,4,40,233,100,118,15,0
Nonmetropolitan,TENNESSEE,Henderson,62,1,4,3,54,399,135,234,30,4
Nonmetropolitan,TENNESSEE,Henry,40,0,0,0,40,472,155,297,20,0
Nonmetropolitan,TENNESSEE,Houston,22,0,0,1,21,149,62,77,10,12
Nonmetropolitan,TENNESSEE,Humphreys,20,1,0,1,18,162,56,97,9,0
Nonmetropolitan,TENNESSEE,Jackson,18,1,2,3,12,207,78,112,17,0
Nonmetropolitan,TENNESSEE,Johnson,93,0,2,3,88,251,120,110,21,4
Nonmetropolitan,TENNESSEE,Lake,5,2,0,0,3,21,5,14,2,0
Nonmetropolitan,TENNESSEE,Lauderdale,56,2,3,0,51,428,215,184,29,4
Nonmetropolitan,TENNESSEE,Lawrence,123,0,5,3,115,676,253,395,28,9
Nonmetropolitan,TENNESSEE,Lewis,24,0,0,1,23,179,53,108,18,0
Nonmetropolitan,TENNESSEE,Lincoln,81,0,0,4,77,524,193,302,29,4
Nonmetropolitan,TENNESSEE,Marshall,18,0,1,0,17,173,55,109,9,1
Nonmetropolitan,TENNESSEE,Maury,144,1,15,8,120,709,188,461,60,8
Nonmetropolitan,TENNESSEE,McMinn,75,1,7,8,59,630,266,281,83,5
Nonmetropolitan,TENNESSEE,McNairy,80,0,4,0,76,335,113,191,31,4
Nonmetropolitan,TENNESSEE,Meigs,45,0,4,0,41,289,104,141,44,2
Nonmetropolitan,TENNESSEE,Monroe,100,2,0,3,95,710,218,441,51,3
Nonmetropolitan,TENNESSEE,Moore,2,0,2,0,0,106,23,78,5,1
Nonmetropolitan,TENNESSEE,Morgan,39,1,3,1,34,563,238,295,30,1
Nonmetropolitan,TENNESSEE,Obion,27,0,1,0,26,245,57,161,27,2
Nonmetropolitan,TENNESSEE,Overton,40,0,0,1,39,235,106,119,10,1
Nonmetropolitan,TENNESSEE,Perry,20,0,3,1,16,120,50,66,4,2
Nonmetropolitan,TENNESSEE,Pickett,3,0,0,1,2,61,7,54,0,0
Nonmetropolitan,TENNESSEE,Putnam,90,0,1,4,85,"1,028",314,664,50,5
Nonmetropolitan,TENNESSEE,Rhea,74,0,2,3,69,373,103,234,36,0
Nonmetropolitan,TENNESSEE,Roane,36,0,1,3,32,424,155,239,30,0
Nonmetropolitan,TENNESSEE,Scott,27,1,3,1,22,497,221,256,20,0
Nonmetropolitan,TENNESSEE,Sevier,162,3,21,22,116,"1,884",830,964,90,2
Nonmetropolitan,TENNESSEE,Van Buren,10,0,1,0,9,53,14,35,4,3
Nonmetropolitan,TENNESSEE,Warren,43,1,5,4,33,443,161,237,45,2
Nonmetropolitan,TENNESSEE,Wayne,21,2,0,0,19,80,38,36,6,3
Nonmetropolitan,TENNESSEE,Weakley,43,1,2,3,37,214,98,101,15,0
Nonmetropolitan,TENNESSEE,White,59,1,5,2,51,458,91,333,34,3
Nonmetropolitan,TEXAS,Aransas,21,0,3,1,17,331,119,201,11,0
Nonmetropolitan,TEXAS,Archer,3,0,0,0,3,39,10,27,2,0
Nonmetropolitan,TEXAS,Armstrong,0,0,0,0,0,15,12,2,1,0
Nonmetropolitan,TEXAS,Atascosa,18,0,0,3,15,421,179,230,12,0
Nonmetropolitan,TEXAS,Austin,27,1,2,3,21,203,101,98,4,0
Nonmetropolitan,TEXAS,Bandera,20,0,1,3,16,180,79,99,2,0
Nonmetropolitan,TEXAS,Bastrop,155,2,49,13,91,862,337,467,58,7
Nonmetropolitan,TEXAS,Bell,29,2,11,3,13,761,262,463,36,15
Nonmetropolitan,TEXAS,Bexar,496,12,61,90,333,"6,668","2,013","4,182",473,94
Nonmetropolitan,TEXAS,Bowie,140,5,21,3,111,883,332,472,79,12
Nonmetropolitan,TEXAS,Brazoria,98,1,13,23,61,"1,744",620,"1,028",96,1
Nonmetropolitan,TEXAS,Brazos,53,2,4,0,47,357,115,222,20,1
Nonmetropolitan,TEXAS,Burleson,20,0,7,2,11,123,51,57,15,1
Nonmetropolitan,TEXAS,Caldwell,23,1,3,1,18,195,73,105,17,0
Nonmetropolitan,TEXAS,Calhoun,11,0,0,0,11,170,55,101,14,0
Nonmetropolitan,TEXAS,Callahan,3,0,0,0,3,40,12,25,3,0
Nonmetropolitan,TEXAS,Cameron,159,3,9,24,123,"1,745",615,"1,029",101,10
Nonmetropolitan,TEXAS,Carson,13,2,2,0,9,46,15,29,2,0
Nonmetropolitan,TEXAS,Chambers,54,1,2,7,44,536,134,364,38,4
Nonmetropolitan,TEXAS,Clay,4,0,2,0,2,140,68,66,6,0
Nonmetropolitan,TEXAS,Collin,89,2,9,7,71,725,300,355,70,0
Nonmetropolitan,TEXAS,Comal,182,0,20,12,150,909,326,553,30,4
Nonmetropolitan,TEXAS,Coryell,12,0,0,2,10,140,67,65,8,1
Nonmetropolitan,TEXAS,Crosby,3,0,0,0,3,17,9,6,2,0
Nonmetropolitan,TEXAS,Dallas,28,0,3,3,22,256,89,148,19,20
Nonmetropolitan,TEXAS,Delta,4,0,0,0,4,145,62,73,10,1
Nonmetropolitan,TEXAS,Denton,137,1,23,13,100,"1,010",342,632,36,1
Nonmetropolitan,TEXAS,Ector,182,5,1,22,154,"1,009",275,670,64,2
Nonmetropolitan,TEXAS,Ellis,51,1,4,5,41,672,228,375,69,2
Nonmetropolitan,TEXAS,El Paso,237,2,18,21,196,"1,333",357,843,133,19
Nonmetropolitan,TEXAS,Fort Bend,902,8,56,117,721,"4,155","1,509","2,399",247,10
Nonmetropolitan,TEXAS,Galveston,81,2,14,16,49,847,288,478,81,16
Nonmetropolitan,TEXAS,Goliad,14,0,0,2,12,69,27,36,6,0
Nonmetropolitan,TEXAS,Grayson,56,2,9,1,44,802,294,468,40,17
Nonmetropolitan,TEXAS,Gregg,81,3,14,7,57,595,160,361,74,8
Nonmetropolitan,TEXAS,Guadalupe,78,0,14,4,60,659,277,348,34,12
Nonmetropolitan,TEXAS,Hardin,50,3,4,4,39,408,104,259,45,5
Nonmetropolitan,TEXAS,Hays,77,2,2,8,65,774,288,468,18,0
Nonmetropolitan,TEXAS,Hidalgo,525,20,66,116,323,"6,688","2,498","3,779",411,188
Nonmetropolitan,TEXAS,Hunt,76,3,0,11,62,"1,222",524,604,94,1
Nonmetropolitan,TEXAS,Irion,0,0,0,0,0,22,3,19,0,0
Nonmetropolitan,TEXAS,Jefferson,25,0,2,1,22,500,176,276,48,3
Nonmetropolitan,TEXAS,Johnson,128,3,4,2,119,"1,095",340,708,47,17
Nonmetropolitan,TEXAS,Jones,1,0,0,0,1,87,23,63,1,0
Nonmetropolitan,TEXAS,Kaufman,140,0,18,9,113,"1,254",526,605,123,1
Nonmetropolitan,TEXAS,Kendall,16,2,8,0,6,232,74,148,10,0
Nonmetropolitan,TEXAS,Lampasas,1,0,0,0,1,106,31,72,3,3
Nonmetropolitan,TEXAS,Liberty,165,1,0,8,156,"1,226",440,655,131,14
Nonmetropolitan,TEXAS,Lubbock,111,3,18,5,85,820,361,405,54,1
Nonmetropolitan,TEXAS,McLennan,86,1,32,2,51,826,353,435,38,6
Nonmetropolitan,TEXAS,Medina,33,1,4,0,28,203,106,89,8,0
Nonmetropolitan,TEXAS,Midland,52,2,0,3,47,442,121,290,31,2
Nonmetropolitan,TEXAS,Montgomery,648,7,49,119,473,"6,328","1,837","4,088",403,12
Nonmetropolitan,TEXAS,Nueces,48,1,5,2,40,256,113,138,5,4
Nonmetropolitan,TEXAS,Orange,107,0,6,16,85,817,284,470,63,2
Nonmetropolitan,TEXAS,Parker,121,1,7,5,108,"1,061",408,601,52,0
Nonmetropolitan,TEXAS,Potter,26,0,2,3,21,251,75,159,17,5
Nonmetropolitan,TEXAS,Randall,36,0,1,2,33,373,127,215,31,8
Nonmetropolitan,TEXAS,Robertson,5,0,2,0,3,187,59,112,16,2
Nonmetropolitan,TEXAS,Rockwall,30,0,3,1,26,215,69,137,9,0
Nonmetropolitan,TEXAS,Rusk,73,0,10,2,61,665,249,356,60,1
Nonmetropolitan,TEXAS,San Jacinto,117,0,3,15,99,738,315,349,74,4
Nonmetropolitan,TEXAS,San Patricio,32,1,13,2,16,272,85,172,15,0
Nonmetropolitan,TEXAS,Smith,238,5,47,23,163,"2,043",680,"1,224",139,18
Nonmetropolitan,TEXAS,Tarrant,124,3,16,12,93,"1,256",413,774,69,5
Nonmetropolitan,TEXAS,Taylor,21,0,3,1,17,152,78,60,14,1
Nonmetropolitan,TEXAS,Tom Green,36,0,16,3,17,237,77,150,10,6
Nonmetropolitan,TEXAS,Travis,367,6,11,23,327,"3,461","1,039","2,279",143,48
Nonmetropolitan,TEXAS,Upshur,57,2,12,4,39,624,250,339,35,5
Nonmetropolitan,TEXAS,Victoria,83,1,15,3,64,521,172,320,29,0
Nonmetropolitan,TEXAS,Waller,20,0,1,1,18,292,119,154,19,0
Nonmetropolitan,TEXAS,Wichita,36,0,1,1,34,107,33,70,4,5
Nonmetropolitan,TEXAS,Williamson,106,5,14,14,73,"1,288",315,933,40,12
Nonmetropolitan,TEXAS,Wilson,33,1,3,0,29,255,81,153,21,0
Nonmetropolitan,TEXAS,Wise,30,2,0,3,25,291,96,170,25,15
Nonmetropolitan,TEXAS,Anderson,66,2,3,4,57,495,206,232,57,6
Nonmetropolitan,TEXAS,Andrews,8,0,1,1,6,71,13,48,10,1
Nonmetropolitan,TEXAS,Angelina,86,0,8,9,69,665,255,381,29,0
Nonmetropolitan,TEXAS,Bailey,7,0,0,0,7,51,28,21,2,2
Nonmetropolitan,TEXAS,Baylor,1,0,0,0,1,11,3,6,2,0
Nonmetropolitan,TEXAS,Bee,32,2,4,0,26,148,57,79,12,0
Nonmetropolitan,TEXAS,Blanco,5,0,0,0,5,85,35,44,6,2
Nonmetropolitan,TEXAS,Borden,0,0,0,0,0,7,1,6,0,0
Nonmetropolitan,TEXAS,Bosque,15,0,2,1,12,172,82,84,6,4
Nonmetropolitan,TEXAS,Brewster,4,0,0,0,4,28,20,6,2,0
Nonmetropolitan,TEXAS,Briscoe,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,TEXAS,Brooks,11,0,1,0,10,15,6,6,3,0
Nonmetropolitan,TEXAS,Brown,18,0,0,0,18,176,68,99,9,2
Nonmetropolitan,TEXAS,Burnet,27,0,6,2,19,236,93,129,14,1
Nonmetropolitan,TEXAS,Camp,7,1,1,1,4,196,92,99,5,0
Nonmetropolitan,TEXAS,Cass,30,0,2,0,28,399,160,211,28,0
Nonmetropolitan,TEXAS,Castro,3,0,0,0,3,87,32,49,6,2
Nonmetropolitan,TEXAS,Cherokee,79,0,11,6,62,641,194,369,78,6
Nonmetropolitan,TEXAS,Childress,3,0,0,0,3,21,11,8,2,0
Nonmetropolitan,TEXAS,Cochran,2,0,1,0,1,85,18,61,6,1
Nonmetropolitan,TEXAS,Coke,1,0,0,0,1,8,2,6,0,0
Nonmetropolitan,TEXAS,Coleman,1,0,0,0,1,84,34,46,4,1
Nonmetropolitan,TEXAS,Collingsworth,1,1,0,0,0,0,0,0,0,0
Nonmetropolitan,TEXAS,Colorado,10,1,1,2,6,218,72,134,12,0
Nonmetropolitan,TEXAS,Comanche,7,0,0,0,7,100,30,68,2,0
Nonmetropolitan,TEXAS,Concho,2,0,0,0,2,9,6,3,0,0
Nonmetropolitan,TEXAS,Cottle,0,0,0,0,0,1,1,0,0,0
Nonmetropolitan,TEXAS,Crane,0,0,0,0,0,25,10,15,0,0
Nonmetropolitan,TEXAS,Culberson,3,0,1,0,2,7,1,6,0,0
Nonmetropolitan,TEXAS,Dallam,1,0,0,0,1,25,9,14,2,0
Nonmetropolitan,TEXAS,Dawson,2,0,0,1,1,46,10,34,2,1
