date,num_tweets
2013-03-21,113
2013-03-22,1596
2013-03-23,2446
2013-03-24,2252
2013-03-25,1350
2013-03-26,1719
2013-03-27,1386
2013-03-28,1325
2013-03-29,592
2013-03-30,769
2013-03-31,1980
2013-04-01,1864
2013-04-02,2886
2013-04-03,2483
2013-04-04,1023
2013-04-05,2297
2013-04-06,158
2013-04-07,2065
2013-04-08,2928
2013-04-09,2880
2013-04-10,2849
2013-04-11,3200
2013-04-12,3865
2013-04-13,3777
2013-04-14,3741
2013-04-15,3807
2013-04-16,3192
2013-04-17,2211
2013-04-18,3787
2013-04-19,77
