"city (STRING)","areaCode (STRING)","country (STRING)","region (STRING)","locId (STRING)","longitude (STRING)","postalCode (STRING)","metroCode (STRING)","latitude (STRING)","author (STRING)","year (STRING)","month (STRING)","day (STRING)","hour (STRING)","minute (STRING)","text (STRING)","hashtags (STRING)","search_term (STRING)","id (STRING)"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Gallyx23","2013","3","17","14","34","@SpikeST Fuck that. Real nerds like to get their 8hours cuz they have school to worry about. Hahah","","fuck","5808278124936755971"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","SarahFieguraXo","2013","3","17","14","33","What the fuck actually happened last night.","","fuck","1245632218318533618"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","MstrBriteSloth","2013","3","17","14","21","@SUKnives fuck no.","","fuck","6890151559296683408"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","harrysteafag","2013","3","17","14","18","that dog is so cute. fuck. im just gonna go find my cat and cuddle it now bye","","fuck","2713295163477273298"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Pandurrcula","2013","3","17","14","18","Fuck i love Cosmic Brownies","","fuck","8581856095823452114"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","decayingkween","2013","3","17","13","46","@_FlawlessLovato IM NOT CHARLEY. AM FUCKING KATNISS. WHO THE FUCK IS CHARLEY","","fuck","-1663280689011350923"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","vielkax4","2013","3","17","13","43","RT “@joeltyga: If I say ""OKAY"" during an argument , it means ""SHUT THE FUCK UP!""”","","fuck","1456851170363675512"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","decayingkween","2013","3","17","13","39","@ArianatorPeople dude fuck off","","fuck","-5364708247229708169"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","decayingkween","2013","3","17","13","35","FUCK YES. GETTING THE MOCKINGJAY PIN ON SATURDAY *runs around screaming*","","fuck","3862725667775536891"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Flog_Gnaw","2013","3","17","13","26","Okay spring break just got 100x better holy fuck.","","fuck","-898841557382590286"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","AdamAdamleslie","2013","3","17","13","25","RT @UhOhItsPookie: Fuck the po po pope, I'm sick of hearing about his wrinkly ball sack","","fuck","-2008846193453781840"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","ValhallasGod","2013","3","17","13","22","TOTTENHAM ARE SHIT ✔
LONDON IS RED ✔ 
TOTTENHAM GAMES ARE BORING ✔ 
ONE MONKEY TEAM ✔
FUCK OFF YOU SPURS ✔ 
ARSENAL WON, TOTTENHAM LOST ✔","","fuck","1009212993499980496"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","TimTWWK","2013","3","17","13","20","RT @the_ironsheik: Fuck the Sunday","","fuck","-3563467627847585086"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","belden","2013","3","17","13","12","@PerlSawyer I’m sure it involved more than one “fuck”.","","fuck","4366002535275556642"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","decayingkween","2013","3","17","13","2","@LOHANTHONY what the actual fuck is your life. You're like 10.","","fuck","8280536194910679329"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","porsh_x3","2013","3","17","12","47","@Whodafukislouis lmao you ain't shit. Hahaha. Fuck a keybank. &amp;what is a pathfinder in westchester? Oh. I'm on spring break now sir.","","fuck","8320933564380634581"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","_KeepIt_TRill","2013","3","17","12","27","This girl fuck me like she love","","fuck","3479523933758574461"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","NUEVO_WILCOX","2013","3","17","11","50","@Tj_joshua fuck off...","","fuck","-4461215718775782813"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","chaboyalexii","2013","3","17","11","33","@Wiffcity23 fuck u too","","fuck","-2639262584345278242"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Fat_Parrell","2013","3","17","11","17","RT @SueySeidl: @_keepitabean_ ""fuck ya fake friends, where ya real friends at?""-Drake said this in 13","","fuck","5309013020616523407"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","scholarbrian","2013","3","17","11","15","@theLOUDprincess lmfao and you're still a fuck boy","","fuck","-3214350070765681587"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","MzKaTrinaJay","2013","3","17","11","14","Word RT @MoJizel: Wifey got 36 minutes of heavy penis this morning. She don’t give a fuck what I’m tweeting right now","","fuck","2044334868871062068"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","scholarbrian","2013","3","17","11","13","@theLOUDprincess ur a fuck boy","","fuck","-1025758819997098133"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","SueySeidl","2013","3","17","11","11","@_keepitabean_ ""fuck ya fake friends, where ya real friends at?""-Drake said this in 13","","fuck","-4519172871709063142"
